tourney_id,tourney_name,tourney_date,tourney_level,winner_id,winner_name,winner_rank,loser_id,loser_name,loser_rank,score
2022-0316,Bastad,2022-07-11,A,202103,Francisco Cerundolo,39.0,202104,Sebastian Baez,34.0,7-6(4) 6-2
2022-0316,Bastad,2022-07-11,A,202103,Francisco Cerundolo,39.0,105807,Pablo Carreno Busta,18.0,6-3 6-2
2022-0316,Bastad,2022-07-11,A,202104,Sebastian Baez,34.0,126094,Andrey Rublev,8.0,6-2 6-4
2022-0316,Bastad,2022-07-11,A,202103,Francisco Cerundolo,39.0,106234,Aslan Karatsev,40.0,7-5 6-1
2022-0316,Bastad,2022-07-11,A,105807,Pablo Carreno Busta,18.0,106043,Diego Schwartzman,14.0,6-1 6-0
2022-0316,Bastad,2022-07-11,A,202104,Sebastian Baez,34.0,106233,Dominic Thiem,339.0,6-2 6-7(5) 6-4
2022-0316,Bastad,2022-07-11,A,126094,Andrey Rublev,8.0,111513,Laslo Djere,53.0,7-5 6-4
2022-0316,Bastad,2022-07-11,A,202103,Francisco Cerundolo,39.0,134770,Casper Ruud,5.0,6-4 3-6 7-5
2022-0316,Bastad,2022-07-11,A,106234,Aslan Karatsev,40.0,200384,Hugo Gaston,58.0,6-2 6-4
2022-0316,Bastad,2022-07-11,A,106043,Diego Schwartzman,14.0,111200,Elias Ymer,134.0,7-5 6-3
2022-0316,Bastad,2022-07-11,A,105807,Pablo Carreno Busta,18.0,105077,Albert Ramos,38.0,4-6 7-6(5) 7-5
2022-0316,Bastad,2022-07-11,A,202104,Sebastian Baez,34.0,200221,Alejandro Davidovich Fokina,36.0,6-2 6-3
2022-0316,Bastad,2022-07-11,A,106233,Dominic Thiem,339.0,105138,Roberto Bautista Agut,20.0,7-6(5) 3-6 6-4
2022-0316,Bastad,2022-07-11,A,111513,Laslo Djere,53.0,144817,Marc Andrea Huesler,108.0,7-5 6-2
2022-0316,Bastad,2022-07-11,A,126094,Andrey Rublev,8.0,105948,Federico Coria,65.0,7-5 4-6 7-6(2)
2022-0316,Bastad,2022-07-11,A,202103,Francisco Cerundolo,39.0,105155,Pedro Sousa,430.0,6-4 6-3
2022-0316,Bastad,2022-07-11,A,106234,Aslan Karatsev,40.0,132283,Lorenzo Sonego,63.0,6-0 2-6 6-4
2022-0316,Bastad,2022-07-11,A,200384,Hugo Gaston,58.0,105932,Nikoloz Basilashvili,25.0,7-6(6) 3-0 RET
2022-0316,Bastad,2022-07-11,A,111200,Elias Ymer,134.0,127157,Daniel Altmaier,62.0,6-4 7-6(5)
2022-0316,Bastad,2022-07-11,A,105077,Albert Ramos,38.0,144869,Tomas Martin Etcheverry,78.0,6-3 6-3
2022-0316,Bastad,2022-07-11,A,105807,Pablo Carreno Busta,18.0,104527,Stan Wawrinka,290.0,7-5 6-4
2022-0316,Bastad,2022-07-11,A,202104,Sebastian Baez,34.0,104926,Fabio Fognini,64.0,6-3 6-4
2022-0316,Bastad,2022-07-11,A,200221,Alejandro Davidovich Fokina,36.0,105311,Joao Sousa,60.0,6-4 6-2
2022-0316,Bastad,2022-07-11,A,106233,Dominic Thiem,339.0,200325,Emil Ruusuvuori,43.0,3-6 6-1 7-6(5)
2022-0316,Bastad,2022-07-11,A,144817,Marc Andrea Huesler,108.0,208029,Holger Rune,28.0,6-3 6-4
2022-0316,Bastad,2022-07-11,A,111513,Laslo Djere,53.0,207518,Lorenzo Musetti,67.0,6-3 7-5
2022-0316,Bastad,2022-07-11,A,105948,Federico Coria,65.0,105643,Federico Delbonis,84.0,0-6 6-4 6-4
2022-0315,Newport,2022-07-11,A,202195,Maxime Cressy,41.0,122330,Alexander Bublik,42.0,2-6 6-3 7-6(3)
2022-0315,Newport,2022-07-11,A,122330,Alexander Bublik,42.0,106186,Jason Kubler,102.0,6-3 6-2
2022-0315,Newport,2022-07-11,A,202195,Maxime Cressy,41.0,104545,John Isner,22.0,6-2 4-6 6-3
2022-0315,Newport,2022-07-11,A,106186,Jason Kubler,102.0,105902,James Duckworth,74.0,7-5 7-6(3)
